VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,LocationID_DO,lat_DO,lng_DO,LocationID_PU,lat_PU,lng_PU,timestamp
2,2022-01-02 07:29:00,2022-01-02 07:50:23,1.0,10.94,1.0,N,237,138,1,31.5,0.0,0.5,2.0,6.55,0.3,43.35,2.5,0.0,138,40.77486738951802,-73.8728037146871,237,40.76854188466485,-73.96569149194592,2022-01-02 07:50:23 - 2022-01-02 07:29:00
1,2022-01-02 07:35:37,2022-01-02 07:55:09,2.0,9.2,1.0,Y,237,138,1,28.0,2.5,0.5,6.25,0.0,0.3,37.55,2.5,0.0,138,40.77486738951802,-73.8728037146871,237,40.76854188466485,-73.96569149194592,2022-01-02 07:55:09 - 2022-01-02 07:35:37
2,2022-01-02 07:20:50,2022-01-02 07:48:16,1.0,10.11,1.0,N,237,258,2,31.5,0.0,0.5,0.0,0.0,0.3,34.8,2.5,0.0,258,40.69012636781312,-73.85663905307173,237,40.76854188466485,-73.96569149194592,2022-01-02 07:48:16 - 2022-01-02 07:20:50
2,2022-01-02 07:27:59,2022-01-02 08:08:59,1.0,17.25,3.0,N,237,1,2,68.0,0.0,0.0,0.0,11.75,0.3,80.05,0.0,0.0,1,40.689515648043326,-74.17678574521427,237,40.76854188466485,-73.96569149194592,2022-01-02 08:08:59 - 2022-01-02 07:27:59
1,2022-01-02 07:47:00,2022-01-02 08:16:15,1.0,18.9,2.0,N,132,236,1,52.0,3.75,0.5,15.75,6.55,0.3,78.85,2.5,1.25,236,40.78049147573493,-73.95697238530639,132,40.642604521718,-73.77826365890199,2022-01-02 08:16:15 - 2022-01-02 07:47:00
1,2022-01-02 07:36:26,2022-01-02 08:04:16,3.0,19.4,2.0,N,132,236,1,52.0,3.75,0.5,15.78,6.55,0.3,78.88,2.5,1.25,236,40.78049147573493,-73.95697238530639,132,40.642604521718,-73.77826365890199,2022-01-02 08:04:16 - 2022-01-02 07:36:26
1,2022-01-02 07:06:27,2022-01-02 07:33:20,0.0,20.0,2.0,N,132,236,1,52.0,3.75,0.5,12.62,6.55,0.3,75.72,2.5,1.25,236,40.78049147573493,-73.95697238530639,132,40.642604521718,-73.77826365890199,2022-01-02 07:33:20 - 2022-01-02 07:06:27
2,2022-01-02 07:34:29,2022-01-02 08:00:40,6.0,19.64,2.0,N,132,236,1,52.0,0.0,0.5,9.46,6.55,0.3,72.56,2.5,1.25,236,40.78049147573493,-73.95697238530639,132,40.642604521718,-73.77826365890199,2022-01-02 08:00:40 - 2022-01-02 07:34:29
2,2022-01-02 07:51:25,2022-01-02 08:19:17,1.0,19.7,2.0,N,132,236,1,52.0,0.0,0.5,12.37,6.55,0.3,75.47,2.5,1.25,236,40.78049147573493,-73.95697238530639,132,40.642604521718,-73.77826365890199,2022-01-02 08:19:17 - 2022-01-02 07:51:25
1,2022-01-02 07:11:55,2022-01-02 07:38:08,1.0,18.9,2.0,N,132,42,2,52.0,1.25,0.5,0.0,6.55,0.3,60.6,0.0,1.25,42,40.82104621409778,-73.93951646931666,132,40.642604521718,-73.77826365890199,2022-01-02 07:38:08 - 2022-01-02 07:11:55
